,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 70/96, 71/00, 99/01 in 17/03), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja pripraviti letno poročilo.

Na osnovi oddanih letnih poročil smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz industrijskih obratov, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu, obratu s katerim upravlja zavezanec in o letnih količinah izpuščenih snovi v zrak iz posameznega obrata. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Podatki o zavezancu,,,,,Podatki,o obratu,,Podatki o emisijah v zrak,
1,Leto poročanja,Naziv zavezanca,Naslov zavezanca,Poštna številka,Ime pošte,Naselje obrata,Ulica obrata,Hišna št.obrata,Občina obrata,Onesnažilo,Letna količina [Kg]
236,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",3178
237,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,etilacetat (C4H8O2),11476.4
238,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,formaldehid (CH2O),250.58
239,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,ogljikov monoksid (CO),2304
240,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,skupni prah,729.96
241,2003,BREST POHIŠTVO D.O.O.,CESTA 4. MAJA 18,1380,CERKNICA,CERKNICA,CESTA 4. MAJA,18,CERKNICA,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",779
242,2003,BSH-HIŠNI APARATI d.o.o.,SAVINJSKA CESTA 30,3331,NAZARJE,NAZARJE,SAVINJSKA CESTA,30,NAZARJE,stiren (C8H8),1280
243,2003,BUKEV d.o.o.,KOVAŠKA CESTA 100,2344,LOVRENC NA POHORJU,LOVRENC NA POHORJU,KOVAŠKA CESTA,100,LOVRENC NA POHORJU,lesni prah v respirabilni obliki,59.8
244,2003,BUKEV d.o.o.,KOVAŠKA CESTA 100,2344,LOVRENC NA POHORJU,LOVRENC NA POHORJU,KOVAŠKA CESTA,100,LOVRENC NA POHORJU,skupni prah,546.4
245,2003,CAFFE TROPIC D.O.O.,SAVINJSKA CESTA 87a,3310,ŽALEC,ŽALEC,SAVINJSKA CESTA,87,ŽALEC,"dušikovi oksidi (NO in NO2), izraženi kot NO2",255.53
246,2003,CAFFE TROPIC D.O.O.,SAVINJSKA CESTA 87a,3310,ŽALEC,ŽALEC,SAVINJSKA CESTA,87,ŽALEC,ogljikov monoksid (CO),128.86
247,2003,CAFFE TROPIC D.O.O.,SAVINJSKA CESTA 87a,3310,ŽALEC,ŽALEC,SAVINJSKA CESTA,87,ŽALEC,"organske spojine, izražene kot skupni organski ogljik (TOC)",122.3
248,2003,CAFFE TROPIC D.O.O.,SAVINJSKA CESTA 87a,3310,ŽALEC,ŽALEC,SAVINJSKA CESTA,87,ŽALEC,skupni prah,32.3
249,2003,"CALCIT, PROIZVODNJA KALCITNIH POLNIL, D.D.",STAHOVICA 15,1242,STAHOVICA,STAHOVICA,STAHOVICA,15,KAMNIK,"dušikovi oksidi (NO in NO2), izraženi kot NO2",68136.9
250,2003,"CALCIT, PROIZVODNJA KALCITNIH POLNIL, D.D.",STAHOVICA 15,1242,STAHOVICA,STAHOVICA,STAHOVICA,15,KAMNIK,ogljikov monoksid (CO),52644.1
251,2003,"CALCIT, PROIZVODNJA KALCITNIH POLNIL, D.D.",STAHOVICA 15,1242,STAHOVICA,STAHOVICA,STAHOVICA,15,KAMNIK,skupni prah,2824
252,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,aceton (C3H8O),3800
253,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,alkani (razen metana),1101
254,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,butilacetat (C6H12O2),1357.12
255,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,etilbenzen (C8H10),108.85
256,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,ksilen (C8H10),653.58
257,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,metilklorid (CH2Cl),833.3
258,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,"organske spojine, izražene kot skupni organski ogljik (TOC)",7601.13
259,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,skupni prah,292.02
260,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,toluen (C7H9),593.39
261,2003,"CARRERA - OPTYL, PROIZVODNJA OČAL D.O.O.",LJUTOMERSKA CESTA 38A,2270,ORMOŽ,ORMOŽ,LJUTOMERSKA CESTA,38,ORMOŽ,trikloreten (C2HCl3),7.5
262,2003,CELANESE POLISINTEZA d.o.o.,DEKANI 3A,6271,DEKANI,DEKANI,DEKANI,3,KOPER,"organske spojine, izražene kot skupni organski ogljik (TOC)",0.12
263,2003,CELANESE POLISINTEZA d.o.o.,DEKANI 3A,6271,DEKANI,DEKANI,DEKANI,3,KOPER,skupni prah,0.2
264,2003,CELANESE POLISINTEZA d.o.o.,DEKANI 3A,6271,DEKANI,DEKANI,DEKANI,3,KOPER,vinilacetat (C4H6O2),0.2
265,2003,"CELES LESNA INDUSTRIJA D.O.O., CERKNO",POT NA ZAVRTE 23,5282,CERKNO,CERKNO,POT NA ZAVRTE,23,CERKNO,skupni prah,29.641
266,2003,"CELES LESNA INDUSTRIJA D.O.O., CERKNO",POT NA ZAVRTE 23,5282,CERKNO,CERKNO,POT NA ZAVRTE,27,CERKNO,lesni prah,69.77
267,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,amonijak (NH3),1878
268,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,didušikov oksid (N2O),7.3
269,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,metan (CH4),683
270,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,ogljikov dioksid (CO2),4104
271,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,"organske spojine, izražene kot skupni organski ogljik (TOC)",220
272,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,skupni prah,0.44
273,2003,Centralna čistilna naprava Domžale-Kamnik,ŠTUDLJANSKA CESTA 91,1230,DOMŽALE,DOMŽALE,ŠTUDLJANSKA CESTA,91,DOMŽALE,vodikov sulfid (H2S),173
274,2003,"CESTNO PODJETJE LJUBLJANA, D.D.",STOLPNIŠKA ULICA 10,1000,LJUBLJANA,LJUBLJANA,STOLPNIŠKA ULICA,10,LJUBLJANA,skupni prah,12.16
275,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VOLČE,VOLČE,87,TOLMIN,skupni prah,1.6
276,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VRTOJBA,GRAMOZNA POT,12,ŠEMPETER-VRTOJBA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",700
277,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VRTOJBA,GRAMOZNA POT,12,ŠEMPETER-VRTOJBA,ogljikov monoksid (CO),6101
278,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VRTOJBA,GRAMOZNA POT,12,ŠEMPETER-VRTOJBA,"organske spojine, izražene kot skupni organski ogljik (TOC)",190.1
279,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VRTOJBA,GRAMOZNA POT,12,ŠEMPETER-VRTOJBA,skupni prah,91
280,2003,"CESTNO PODJETJE NOVA GORICA, DRUŽBA ZA VZDRŽEVANJE IN GRADNJO CEST, D.D.",PRVOMAJSKA ULICA 52,5000,NOVA GORICA,VRTOJBA,GRAMOZNA POT,12,ŠEMPETER-VRTOJBA,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",11
281,2003,"Cetis, grafično podjetje d.d., Celje",ČOPOVA ULICA 24,3000,CELJE,CELJE,ČOPOVA ULICA,24,CELJE,"organske spojine, izražene kot skupni organski ogljik (TOC)",3084.5227999999997
